Timestamp,What name do you want to be listed by?,What is your Mastodon handle (@user@instance.name)?,Do you have a Twitter handle you would like to share? (This can help people you know on Twitter to find you on Mastodon),"What are your main areas of specialization or interest (legal theory, tort law, international tax, etc.)?",Jurisdictions of interest?,Other info for short self-description,"If another list of Mastodon accounts is created that overlaps with those interested in law is created, may we share the info here with that list?"

11/8/2022 14:52:02,Miriam Ingeson,@miriamingeson@mastodon.social,@MiriamIngeson,"ICL, criminal law, philosophy of law","Sweden, ICC",,Yes

11/8/2022 15:03:02,Jabeur Fathally,@J_Fathally,@J_Fathally,International Law - Wills and Estate - Comparative Law,QuÃ©bec -Ontario,,Yes

11/8/2022 15:16:47,Ron Fein,@ronfein@masto.ai,ronfein,Constitutional democracy,,"Legal Dir @FSFP. Democracy, Constitution, law. By night: fiction, satire, & more. Alum 
@EPA. Endorsements: ""Communist...scumbag lawyer"" - Marjorie Taylor Greene",Yes

11/8/2022 15:16:58,Lori B. Schoenberg,@LoriSchoenberg@sfba.social,@LoriSchoenberg,Immigration law; constitutional law; criminal law ,California; federal courts generally,Immigration lawyer in private practice in Los Angeles ,Yes

11/8/2022 15:18:48,Clare Chappell,@ClareChappell_@mastodonapp.uk ,@ClareChappell_,Employment law,UK,,Yes

11/8/2022 15:23:08,Ted Folkman,@tedfolkman@federate.social,@tedfolkman,"International judicial assistance, private international law, civil litigation","Massachusetts, international",,Yes

11/8/2022 15:25:34,Tamara L. Tucker,@southriver@mas.to,,"Insurance Defense, Sports/Equine Law, Appellate","VA, SC",,Yes

11/8/2022 15:32:26,Christos Marneros,@marneros@mastodon.social,@cmarneros,"Anarchism, Political Theory, Legal Theory, Continental Philosophy",/,Lecturer in Law,Yes

11/8/2022 15:33:08,Gregor Novak,@gregornovak@mastodon.social,@gregornovak,"international law, legal theory, environmental law, constitutional law, human rights law, EU law","international, United States, European Union, transnational",,Yes

11/8/2022 15:34:10,John Bartos,@jbartos@c.im,@jbartos,"Tort, probate, civil litigation",Texas,over 40 years experience,Yes

11/8/2022 15:48:20,Paul H. Goldstein,@paulhgoldstein@mastodon.online,,Federal and California litigation,"Federal, California",Retired biglaw litigator,Yes

11/8/2022 15:54:35,Mark Marfe,@ultraMark@toot.community ,@tibudelmar,"Intellectual Property, patents, confidentiality ",United Kingdom ,Partner at Pinsent Masons LLP focus on IP disputes. ,Yes

11/8/2022 16:17:32,Mark Kokanovich,@Kokanovich@Mastodon.online,@kokanovich,"White collar, investigations, elections, government relations","United States, Arizona, California",Former federal prosecutor and adjunct professor interested in criminal justice reform,Yes

11/8/2022 16:30:19,B.Blalock,@BBlalock@mastodon.online,No.,"Youth law, health access, public benefits, human rights","CA, TN, TX, US","Senior staff attorney at Youth Law Center, periodic visiting lecturer at Stanford Law School, creator of the youth experiential learning simulation (www.YExLS.com). ",Yes

11/8/2022 16:33:18,Paul Burgess,@PaulBurgess@aus.social,@PaulBurgo,"legal theory, Rule of Law, AI, legal tech, public law",Any - but I'm based in Australia ,I'm keen to connect with any academics (or wanna be academics!) in any areas that I work in,No

11/8/2022 16:38:48,Charles Elliott,@charleselliott@toot.community,@charleselliott,Environmental law; human rights law; humanitarian law,United States,Public interest lawyer ,Yes

11/8/2022 16:43:50,Kyle Reed,@KyleReedPhD@mastodon.social,@KyleReedPhD,Public International Law; theories of compliance; law on the use of military force; human rights law,,,Yes

11/8/2022 16:46:32,VÃ©ronique Boillet,@vboillet@fediscience.org,@v_boillet,"Public Law, Human Rights and Environment, Gender",Switzerland and Europe,"Professor, University of Lausanne",Yes

11/8/2022 17:05:02,Paul Burgess,@PaulBurgess@aus.social,@PaulBurgo,"legal theory, rule of law, AI, Public Law, legal tech, constitutional theory",Aus - but kind of anywhere,Reach out and say hi!,No

11/8/2022 17:34:28,Maximilian Oehl,@maxoehl@mastodon.green,max_oehl,"Public international law, migration law, EU law",Europe,Executive Director @ Brand New Bundestag ,Yes

11/8/2022 18:08:44,David Brody,@dbrody@mastodon.online,,"civil rights, privacy, internet law",,,No

11/8/2022 18:16:43,Marco Rizzi,@marcorizzi@aus.social,@marcorizzi83,"Tort law, health law, legal theory, risk regulation",World,,Yes

11/8/2022 19:01:33,Amber Hollister ,@RBG_4ever@c.im ,@RBG_4ever,"technology, hardware manufacturing, legal reregulation, government ethics ","US, EU",Tech lawyer and gov ethics volunteer who is passionate about soccer/futbol ,Yes

11/8/2022 19:03:54,Johanna Gibson,@ProfJohanna@mastodon.online ,ProfJohanna,"Intellectual property, film, fashion, legal theory, animals and the law",United Kingdom / European Union,"Herchel Smith Professor of IP, editor-in-chief QMJIP",Yes

11/9/2022 0:36:24,Sarah Butcher,@sarahbutcher@mastodon.nz,@sarahbutcher,"privacy law, property, legal writing, human rights","New Zealand, Australia, Europe, UK",Working @UniSQAUS in Queensland Australia.,No

11/9/2022 2:38:19,Jindan-Karena (âNinaâ) Mann,@JindanMann@bhre.social,@JindanMann,"Human rights, business and human rights, tort law, ICL","US, international ","PhD researcher at the University of Amsterdam studying tort liability in context of business and human rights (RethinkingSLIC.org). Also, American lawyer.",Yes

11/9/2022 4:08:19,Sophie Duroy,@sophieduroy@fediscience.org,@sophie_duroy,public international law,International; Europe,,Yes

11/9/2022 4:12:58,SteveDalyTax,SteveDalyTax,,"Law, public law, tax law","UK, Ireland, EU",Senior Lecturer in Law at King's College London,Yes

11/9/2022 4:45:24,Javier de la Cueva,@jdelacueva@mastodon.social,@jdelacueva,"Intellectual property, Open Science",EU,ORCID 0000-0001-9152-2071,Yes

11/9/2022 7:43:07,Pravar Petkar,@pravarpetkar@mastodonapp.uk,@PravarPetkar,"Constitutional theory, constitutional law, legal theory",UK,"PhD Candidate, University of Edinburgh Law School",Yes

11/9/2022 8:30:49,JoÃ£o Silva Rebelo,@jsradvogado@mastodon.social,,"Labour Law, Company Law & Corporate Governance, IP and IT","Portugal, Spain, Italy, EU, UK and USA","Solo practicioner after 10 years at a boutique practice in Lisbon, Portugal. Personally interested in the intersection between Legal and IT.",Yes

11/9/2022 8:37:07,Natalie Sedacca,@nataliesedacca@mastodon.online,@nataliesedacca,"labour law, human rights ","UK, Europe, Latin America, international","At Durham University, UK ",No

11/9/2022 8:38:14,Michael Doherty ,@profmdoherty@mastodon.ie,@profmdoherty,"Labour law, EU law ","EU, Ireland","Prof of Law and Head of the School of Law and Criminology,Maynooth University, Ireland ",Yes

11/9/2022 8:49:13,Charles Oppenheim,@CharlesO@mas.to,@CharlesOppenh,Intellectual Property,Any,I'm a semi-retired Professor of Information Science,Yes

11/9/2022 9:07:18,Oona Hathaway,@oonahathaway@mstdn.social,@oonahathaway,"International law, foreign relations law, national security law",,,Yes

11/9/2022 10:04:16,Krzyzanowska Kasia,@krzyzanowska_k@mastodon.online,@Krzyzanowska_k,"Constitutional law, eu law","Poland, eu ","PhD researcher at the EUI, review of Democracy (ceu) editor",Yes

11/9/2022 10:06:34,Karen Dyck,@karendyck@mastodon.social,@karendyck,"administrative law, workers compensation, equality, access to justice",Canada,"I'm a lifelong learner and full-time administrative tribunal adjudicator in the middle of Canada with deep interests in equality, access to justice and making the legal profession better",Yes

11/9/2022 10:09:48,Christian Nobmann,@nobmann@c.im,,"Healthcare law, medical law",,,No

11/9/2022 13:28:19,Julian Davis Mortenson,@jdmortenson@mastodon.social,jdmortenson,Constitutional law. Separation of powers. 17th-18th century legal history. Statutory interpretation. International arbitration,,"Sometimes serious, sometimes not",Yes

11/9/2022 13:48:28,Laura Kosloff,@legallaurak@mstdn.social,@legallaurak,"energy, climate policy, international environmental issues","International, US, EU","Non-traditional practice, more like consultant. Also work w/exchange students",Yes

11/9/2022 13:55:25,Walter Shaub,@WalterShaub@journa.host,@waltshaub,government ethics,federal,"Walter M. Shaub, Jr.; senior ethics fellow, Project On Government Oversight; former director, U.S. Office of Government Ethics: I am a government ethics expert who has advocated for integrity and accountability in government across a career in public service. I lead POGOâs Government Ethics Initiative, which focuses on preventing abuses of government power and resources, reforming government ethics systems, and holding government officials accountable to the public they serve. I'm happy to be joining the Mastodon community!",Yes

11/9/2022 14:09:44,Ellen Aprill,@EllenAprill@mastodon.online,@EllenAprill,"Tax Law, Tax Policy, Nonprofits ",Federal ,,Yes

11/9/2022 15:09:39,Maria Helen Murphy,@mariamurphy@mastodon.ie,@maria_h_murphy,"Privacy, Surveillance, Data Protection, Law and Technology, Internet Law, AI, Media Law, Technology and Human Rights","European Union, Council of Europe, Ireland, United Kingdom, United States",Associate Professor at Maynooth University,Yes

11/9/2022 15:47:23,Brad Patrick,@bradpatrick@mastodon.online,@bradpatrick,"Tech law, human submersibles",USA,First GC @WikimediaFoundation,Yes

11/9/2022 16:28:25,Ari Cohn,@AriCohn@masto.ai,@AriCohn,"First Amendment, defamation, tech law, constitutional law","Illinois, nationwide",,Yes

11/9/2022 16:42:37,Virginia Mantouvalou,@vmantouvalou@someone.elses.computer,@vmantouvalou,"human rights, labour law, political philosophy","UK, Europe, international","Professor of Human Rights and Labour Law, UCL Laws",Yes

11/9/2022 17:02:28,Susan Basham,@threedogdays@mstdn.social,@threedogdays@mstdn.social,"Civil litigation (26 years), also land use and related transactional law.","Newsworthy cases in any jurisdiction; all FED, CA, MA. ","Politically engaged, previously served in elective office at local level for 26 years. ",Yes

11/9/2022 17:23:10,Austin Brown,@AustinB@mastodon.social,,"Civil Litigation, Securities Regulation, ESG","USA, European Union, France, New York, Paris","Civil litigation atty, doctoral student in ESG finance law",Yes

11/9/2022 17:34:14,Heather Peck,@Bengoshichick@noc.social,@bengoshichick,"In-house, technology, data privacy, security, international ","US, EU, APAC",,Yes

11/9/2022 19:17:19,Richard Albert,@richardalbert@mastodon.online,@richardalbert,"Constitutional Law, Comparative Constitutional Law",,Professor of World Constitutions and Director of Constitutional Studies at the University of Texas at Austin,Yes

11/9/2022 19:40:28,Erin Durant,@erindurant42@lexvox.org,Erindurant42,"Litigation, sports, investigations, A2J","Canada, Ontario, United States",Softball and baseball fan ,Yes

11/9/2022 19:50:13,Andrew Leahey,@andrew@esq.social,@leahey,Tax,USA,"Columnist at Bloomberg Tax, Tax and Tech Attorney",Yes

11/9/2022 20:12:05,Dennis Kennedy,@denniskennedy@mastodon.social,@denniskennedy,"legal innovation, legal technology, law of new technologies, cybersecurity",US and global,"Director, Michigan State University Center for Law, Technology & Innovation; Adjunct, University of Michigan Law School",Yes

11/9/2022 20:21:03,Josh L,@joshlowenthal@esq.social,Joshualowenthal,"International Tax (really!), Tax Controversy, Business",,,Yes

11/9/2022 20:42:58,Anthony Pusateri,@Anthony@masto.ai,,"Bankruptcy, Restructuring, Creditors' Rights, Technology",Arizona,Junior (soon-to-be-mid-level) associate at a law firm in Downtown Phoenix.,Yes

11/9/2022 22:06:53,Dave Hoffman,@hoffprof@mastodon.online,@hoffprof,Contracts,US,Penn Law Prof.  ,Yes

11/9/2022 22:18:59,Jack Quirk,@quirk_@mastodon.social,jackquirk_,"Legal theory, jurisprudence, law and society, law and literature, legal history","Australia, US, UK, Common Law and Equity",,Yes

11/9/2022 22:45:21,Daniel Doron,@Djdoron@mas.to,,Labor & Employment ,USA,Focus on the intersection of employment law and M&A,Yes

11/9/2022 23:01:12,Jack Quirk,@quirk@zirk.us,jackquirk_,"Law and literature, legal theory and jurisprudence, legal history, hermeneutics","UK, US, Australia, Common Law and Equity",Ph.D. student in the English Department at Brown. Former lawyer. Working on 20C Global Anglophone Novel and Modernism. Reading literary and legal texts in conjunction.,Yes

11/9/2022 23:51:46,Silvie,@Silvie813@mas.to,Silvie813,"Estates and trusts, international law",,"Retired Ohio Lawyer,  Scotus licensed, fluent in Italian ",Yes

11/10/2022 0:54:42,Nick Dunard,@nickdunard@mastodon.social,,"national security, government oversight",D.C.,D.C. law student & dem house committee staffer,Yes

11/10/2022 3:55:15,Tom Theuns,@TomTheuns@akademienl.social,@TomTheuns,"Legal Theory, Constitutional Law, EU Public Law",EU,"Trained as a political theorist, but research on EU's democracy/rule of law crisis intersects with EU law",Yes

11/10/2022 5:38:00,Marco Rocca,@MarcoRocca@sciences.social,@MarcoRocca_,Labour Law,European Union,"Researcher in EU Labour Law, working mainly on the interaction of temporary labour migration with social rights and labour markets",Yes

11/10/2022 7:26:13,Bob Lack,@boblack@mastodon.online,@rlack77,Complex litigation,,"Partner, Friedman Kaplan Seiler & Adelman LLP",Yes

11/10/2022 8:08:00,John Coates,@jciv@home.social,,"corporate, securities, M&A, contracts, legal profession, finance, accounting, reluctantly first amendment (as applied to business and corporations)","US, Delaware, New York",,Yes

11/10/2022 8:17:45,Jessica Richman Dworkin,@jrdworkin@mas.to,,Law school administration (admissions; internationalization),,,Yes

11/10/2022 9:23:08,Calen,@calenback@m.cmx.im,,Intellectual Property,"Chinese, US",Current Georgetown Law student,Yes

11/10/2022 9:25:22,"The Petrie-Flom Center for Health Law Policy, Biotechnology, and Bioethics at Harvard Law School",@PetrieFlom@mas.to,@PetrieFlom,"Health law policy, biotechnology, and bioethics",,,Yes

11/10/2022 9:30:16,Jeremy Sheff,@jnsheff@mastodon.lawprofs.org,@jnsheff,"Intellectual Property, Property, Legal Theory",US,"Law Prof at St. John's University in Queens, NY",Yes

11/10/2022 10:06:37,Katharina Pistor,@KAPistor@mstdnsocial,,"Law and political economy, corporate and financial, law, law and development",Comparative,,Yes

11/10/2022 10:13:16,Cathy Gellis,@CathyGellis@mastodon.cloud,@CathyGellis,"Internet and technology law with lots of free speech, platform regulation, and copyright in particular",US lawyer based in Bay Area but law everywhere is interesting,"US lawyer and former Internet professional interested in tech, international law, civil liberties & their convergence, plus the sociology of technology adoption and communications. Contributor at techdirt.com, recurrent guest on This Week in Google. Unabashed Huey Lewis and the News fan.",Yes

11/10/2022 10:19:02,Rosel Kim,@rosel@mas.to,jroselkim,"equality jurisprudence, technology-facilitated gender-based violence ",Ontario ,"staff lawyer, Women's Legal Education and Action Fund (LEAF) ",Yes

11/10/2022 10:40:12,Holland King,@hollandking@toot.community,@hollandkinglaw,tax law,federal (us) & Georgia,"Focus on representation of taxpayers during audits, exams, and litigation",Yes

11/10/2022 10:56:01,Aaron Bruhl,@aaron_bruhl@appellate.social,@aaron_bruhl,"Statutory interpretation, legislation, civil procedure, appeals, federal courts",,Professor at William & Mary Law School,Yes

11/10/2022 11:14:14,Heather Simmons,@hjesimmons@mastodon.social,@heatherjsimmons,"Legal Research, ",,"Classically trained law librarian,  balancing online and print legal research",Yes

11/10/2022 11:14:49,Allen Leavitt,@Allen@appellate.social,@LVEstatePlanner,"Estate Planning, Federal Tax","Nevada, ",,Yes

11/10/2022 11:54:18,Harlan G. Cohen,@harlangcohen@mas.to,@harlangcohen,"International legal theory, foreign relations and national security, trade, global governance",,,Yes

11/10/2022 13:38:20,Steven Verschoot,@slv@legal.social,,"Financial law and regulation, legal theory, general commercial law, funds law, human rights law","Belgium, EU, US",,Yes

11/10/2022 13:57:37,Brianne Gorod,@briannegorod@mas.to,@BrianneGorod,"Constitutional law, SCOTUS/appellate practice",U.S.,Constitutional Accountability Center,Yes

11/10/2022 14:02:09,Steve Washington,@stevewashington@mastodon.online,@slw_washington,Business and securities law. International business.,"U.S., E.U.","Practicing since 1995 (admitted NY and Ohio). Practiced at major law firms in NY and Ohio for 11 years before exiting for startups. Co-founder/COO of an insurtech headquartered in Ohio, and currently launching another startup. Before law, obtained MPA and worked in NYC Mayor's Office for 5 years. Also worked as a lobbyist (part-time) for 13 years.",Yes

11/10/2022 14:28:42,Kaspar Rosager Ludvigsen,@KasparRosagerLudvigsen@mastodon.nu,@KasparRosager,"Cybersecurity and Law, EU Law, Public Law, Scandinavian Law, etc.","EU, Danish, UK, Scottish, Swedish, Norwegian, German, Austrian","Research Associate, University of Newcastle, also PhD student at University of Strathclyde.",No

11/10/2022 14:29:10,Rebecca Crootof,@RebeccaCrootof@mastodon.lawprofs.org,@RebeccaCrootof,"Techlaw, International Law, Torts",,"Note: Changed instances, so changed handle (from @RebeccaCrootof@mstdn.social)",Yes

11/10/2022 15:15:43,Kate Jackson,kvj2108@mastodon.lawprofs.org,@kvj2108,"legal theory, corporations, adlaw",,,Yes

11/10/2022 15:49:05,Robert Heverly,@robheverly@mastodon.lawprofs.org,@robheverly,"Tort Law, IP, AI, Tech Law & Policy (Internet, AI, drones, quantum networks, cyborgs)",,"Law Prof at Albany Law; 2022 Fellow, Center for Quantum Networks; Affiliated Fellow, Information Society Project, Yale Law.",Yes

11/10/2022 17:23:34,Carl Botterud,@botterud@sfba.social,@carlbotterud,Employment Law/Workplace Investigations,California,External attorney investigator in California. Association of Workplace Investigators Certificate Holder (AWI-CH). AWI Training Institute faculty since 2018.,Yes

11/10/2022 17:56:02,Heidi Tandy,@Heidi8@mastodon.social,TravelingHeidi,"IP, trademarks, copyright, fandom law, transformative works",11th/Florida,"Partner at Berger Singerman, legal committee member of Organization for Transformative Works (the nonprofit behind Archive Of Our Own).",Yes

11/10/2022 18:17:02,Brian Wilcox,@BrianWilcox@mas.to,,Social science and law,,"Retired professor of psychology and law, Univ. of Nebraska",Yes

11/10/2022 20:23:36,Mary Bowman,marybowman@mastodon.lawprofs.org,@mnb810,"Legal Writing, Advocacy, Legal Education, Cognitive Biases ","Arizona, Washington, California ",,Yes

11/10/2022 20:35:41,Ross Silverman,@RossSilverman@mas.to,@phlu,"Health Law & Ethics, Policy Surveillance",Variation in local law,"Professor & Associate Dean for Faculty Affairs, Temple University College of Public Health, Professor (secondary), Temple University Beasley School of Law. Public health law, policy, & ethics",Yes

11/10/2022 21:06:09,Clarinette02,@clarinette02@mastodon.online,@clarinette02,IT/IP information law,Europe US,GDPR and internet law has been my focus but not only. Digital citizenship and social media ,Yes

11/10/2022 21:06:25,Meredith Martin Rountree,@MMR606@mstdn.party,@MMR606,"criminal law & procedure, death penalty","US, Germany, France",,Yes

11/10/2022 21:38:19,Dirk van de Bunt,@Dirkv@mastodon.world,@dirkings,Entertainment Law ,California ,Retired entertainment lawyer,Yes

11/10/2022 23:28:14,Chris Seaman,@cbseaman@mastodon.social,@cbseaman,"IP, property, election law",,"Professor of Law, W&L Law",Yes

11/11/2022 0:16:21,Seema Mohapatra ,@seemamohapatra@techhub.social,@profmohapatra ,"Health equity, assisted reproduction and biotechnology and the law , public health law, reproductive justice ",Al,Law professor ,Yes

11/11/2022 1:06:14,Offenenetze ,@offenenetze@chaos.social,@offenenetze,"IT, copyright, data protection law and procedural law (German)","Germany, Europe",,Yes

11/11/2022 1:42:13,Bobbi-Sue,@bobbisue@mstdn.party,@bobbisue,Sports and entertainment law ,,,Yes

11/11/2022 4:15:22,Lorenzo Cotula,@LCotula@mastodon.online,@LCotula,"international law, economic law, human rights, land rights",,,Yes

11/11/2022 6:39:52,Ramona Tax ,@ramonatax@norden.social,@RamonaTax,"Antitrust, Competition, State Aid, Trade, European Law, Sustainability Law","EU, Germany","Lawyer, Lecturer, PhD candidate",Yes

11/11/2022 14:27:29,Howard Erichson,@HowardErichson@mstdn.party,@HowardErichson,"civil procedure, complex litigation, legal ethics, tort law, legal education",,,Yes

11/11/2022 20:40:22,Anne Joseph O'Connell,@AJosephOconnell@masthead.social,@AJosephOConnell,"Admin Law, Con Law, Civ Pro","U.S. federal, California, agencies","law prof at Stanford; working on book on temporary leaders, Stand Ins",Yes

11/11/2022 22:00:45,Julie Zebrak,@JulieZebrak@mstdn.social,@juliezebrak,,,Former DOJ and FinCEN attorney ,Yes

11/11/2022 22:01:00,Alexander Greenberg,@arg11@law.builders,,"Legal theory, admin law","Colorado, 10th Circuit",,Yes

11/11/2022 22:06:20,Tiffany Li,@tiffanycli@mastodon.social,@tiffanycli,"Privacy, tech law",,"Tech law scholar. UNH Law Professor, Yale ISP fellow, MSNBC columnist. Privacy, AI, & the internet.",Yes

11/11/2022 22:56:38,Christina S. Ho,@christina_s_ho@mastodon.social,@christina_s_ho,"health law and policy, administrative law, legislation, philosophy and ballet",,"Law Professor at Rutgers Law, worked as a staffer on the House and Senate sides, ex-Clinton White House, ex. Clinton Foundation and first book out soon, Normalizing an American Right to Health (OUP)",Yes

11/12/2022 0:02:43,Seth Holoweiko,@holoweiko@hachyderm.io,,Law and Technology,"Delaware, EU",Just your average corporate attorney trying to make the world a bit better.,Yes

11/12/2022 0:33:50,Josh Douglas,@joshdouglas@masto.ai,@JoshuaADouglas,"election law, voting rights",,I am a law professor at the University of Kentucky Rosenberg College of Law,Yes

11/12/2022 0:38:45,Ken Walker,@KenWalkerQB@masthead.social,KenWalkerQB,Small town general practice,British Columbia,,Yes

11/12/2022 1:21:35,Guy Baldwin,@GuyJBaldwin@aus.social,@GuyJBaldwin,Constitutional law,"Australia, US, UK, Japan",PhD Candidate in the Faculty of Law at the University of Cambridge,Yes

11/12/2022 4:15:03,Brian Gannon,@slothropV@mastodon.online,,"Technology Law, IT Contracts, Digital Platforms, Competition Law","EU, USA, E&W",,Yes

11/12/2022 4:33:53,Ffyona Livingstone Clark,@LittleMsFfyFfy@aus.social,@LittleMsFfyFfy,"Criminal law, public law, children & the law, LGBTIQ+ issues",Australia; the UK; the US. ,"Criminal law barrister based in Melbourne, Australia.  PhD student at LaTrobe University.  Victorian Bar Council member, 2022-2023",Yes

11/12/2022 4:51:25,Nadja Braun Binder,@braun_binder@legal.social,@braun_binder,"Public Law, Data Law, Direct Democracy","Switzerland, EU",Professor of Public Law @ University of Basel,Yes

11/12/2022 4:52:08,Joe Atkinson ,@joeatkinson@mastodon.social,,"Employment law, human rights, legal theory",UK and Europe,"Legal academic at University of Sheffield. Researching employment law and rights at work, workplace technologies, and legal theory. Ex researcher and advisor in Parliament.",Yes

11/12/2022 5:02:25,Annevelink AD,@annevelink_ad@mastodon.green,@annevelink_ad," international humanitarian law, international law, international human rights law",international,retired,No

11/12/2022 5:34:06,Hina Sarfaraz,@hsarfaraz@fosstodon.org,@fwdhina,"Cyber law, international commercial law, competition law, international law","USA, Europe, Asia, Australia","Chief Consultant - Third Eye Legal, inc. https://thirdeyelegal.com",Yes

11/12/2022 6:01:56,Armi Beatriz E. Bayot,@ArmiBayot@mstdn.social,@ArmiBayot,"public international law, constitutional law, peace processes, indigenous peoples' rights, human rights",Philippines,"9 years of experience as government lawyer (administrative law, criminal law, indigenous peoples' rights) before starting my DPhil program",Yes

11/12/2022 6:25:10,Lisabeth Rothman ,@LisabethRothman@mindly.social,@LisabethRothma1,"Land use, environmental, water law","California, 9th Circuit, Supreme Court ","Specializing in administrative compliance for public and private sector projects, and related litigation and appeals",Yes

11/12/2022 9:53:06,Pamela Samuelson,@pamelasamuelson@mas.to,@PamelaSamuelson,"Copyright, intellectual property & internet law",US federal ,"Authors Alliance President, Chair of Electronic Frontier Foundation ",Yes

11/12/2022 10:11:26,Daniel Del Gobbo,@danieldelgobbo@mas.to,@danieldelgobbo,,,,Yes

11/12/2022 10:16:58,Przemek Palka,@przemekpalka@mastodon.social,@przemekpalka,"law and technology, private law, consumer law","US, EU",,Yes

11/12/2022 10:21:42,Andrew Raff,@andrewraff@xoxo.zone,@andrewraff,"Copyright, Privacy/Data Protection, in-house",,,Yes

11/12/2022 11:04:50,Keri Blakinger,@keribla@mstdn.social,@keribla,journalist covering legal issues and criminal justice ,"Texas, 5th Circuit",Journalist at The Marshall Project covering criminal justice,Yes

11/12/2022 11:16:04,VÃ©ronique Boillet,@vboillet@fediscience.org,@v_boillet,"Public law, constitutional law, Environment and Human Rights",Switzerland and Europe,"Professor, University of Lausanne",Yes

11/12/2022 11:46:20,Kendra Albert,@kendraserra@dair-community.social,@kendraserra,"technology law, IP",US,,Yes

11/12/2022 11:53:15,Rebecca Bratspies,@RBratspies@Mastadon.social,@RBratspies,"environmental law, human rights, urbanism, environmental justice, crypto",New York ,,Yes

11/12/2022 12:16:32,Andrew Bridges ,@andrewbridges@mastodon.online,@andrewbridges,"Internet law, trial and appellate advocacy, copyright, trademark, advertising, consumer protection","United States, EU, UK, International organizations ","Partner Emeritus, Fenwick & West LLP; https://www.fenwick.com/people/andrew-p-bridges",Yes

11/12/2022 12:55:46,Sean Hogle,@redline_lawyers@law.builders,@redline_lawyers,"Technology, internet, IP, corporate, commercial, M&A ","US, EMEA, APAC",,Yes

11/12/2022 13:02:51,Jennifer Rothman,@profrothman@mstdn.social,@profrothman,"Intellectual property,  right of publicity, privacy and free speech",United States and beyond,,Yes

11/12/2022 13:34:18,David Michaels,@michaels@mas.to,@davidmichaels,"trademark law, domain name law","US, Canada","Brand consultant and blogger. J.D., B.Eng., CHRM",Yes

11/12/2022 14:32:14,Amanda Levendowski,Levendowski@mastodon.lawprofs.org,@levendowski,"intellectual property, privacy, technology",,Associate Professor of Law at Georgetown Law,Yes

11/12/2022 15:17:02,Ben Yong,@BYMYong@mstdn.social,@BYMYong,"constitutional/public law, the executive, the legislature, bureaucracy, office",,,Yes

11/12/2022 17:16:44,Psycholaw,@psycholaw@mastodon.party,,Criminal defense,North Carolina,,Yes

11/12/2022 18:39:29,Christie Dudley,@longobord@infosec.exchange,,"IP, Privacy & Security","California, NY",,Yes

11/12/2022 18:53:00,Paul Blizzard ,@paulblizzard@mas.to,@paulblizzard,Intellectual Property ,Ontario ,US and Canadian Patent Agent ,Yes

11/12/2022 19:11:12,Daniel Joyce,@danieljoyce@aus.social,@DAWJoyce,"International Law, Media Law, Human Rights","Australia, International","Associate Professor, Faculty of Law & Justice, UNSW Sydney",Yes

11/12/2022 19:14:08,Judith Townend,@jtownend@mas.to,@jtownend,"media, tech and information law and governance; access to information; public interest journalism; socio-legal methods","UK, EU, Global ",Senior lecturer at University of Sussex; active in policy work on 'justice system data' and protection of public interest journalism,Yes

11/12/2022 19:25:12,Tung Yin,@tungyin@mastodon.lawprofs.org,@TungYin,"criminal procedure, national security law",,"Lewis & Clark Law School, Portland OR",Yes

11/12/2022 19:37:13,Rick Hasen,@rickhasen@mastodon.online,@rickhasen,"Election law, politics, legislation, torts, remedies",,,Yes

11/12/2022 19:37:58,Frank Inserra,@finserra@mastaudon.org,,Public contract law; fiscal law; admin.  law,Federal,"Retired, formerly: OGC FCC, DHS; OCC IRS; Fried, Frank; Irwin & Lesse",Yes

11/12/2022 19:44:12,Michael Sinha,@DrSinhaEsq@mastodon.lawprofs.org,@DrSinhaEsq,"Health Law, IP",US,"#PHLaw, #FDALaw, #PatentLaw",Yes

11/12/2022 19:59:50,Jim Oleske,@JimOleske@mastodon.social,@JimOleske,"Constitutional Law, Law and Religion","US, UK",Twelfth year teaching at Lewis & Clark Law School; previously worked for electeds in DC and Salem (2004-11); former appellate attorney at the NLRB (2000-04).,Yes

11/12/2022 22:44:08,Alicia Solow-Niederman,@aliciasn@mastodon.online,@Alicia_S_N,Law & Tech; Data Privacy; AI Governance; Algorithmic Accountability; Administrative Law and Regulation,United States; EU; China ,Associate Professor at Iowa Law,Yes

11/13/2022 0:10:29,Peter Lindseth,@PeterLindseth@EUpolicy.social,@PeterLindseth,"Comparative Public Law (Administrative and Constitutional), Corporate and Regulatory Compliance, European Integration, Legal History",US & EU,,Yes

11/13/2022 0:12:45,Matthew Dedon,@mdedon@law.builders,,"Copyright, Trademark, Nonprofit, IP",California,,Yes

11/13/2022 3:52:51,Urania Chiu,@urania@mastodonapp.uk,uraniachiu,"Medical Law, Mental Health Law, Socio-Legal Studies","UK, Hong Kong, other common law juris","DPhil at the Centre for Socio-Legal Studies, Oxford researching psychiatric discourses in criminal sentencing.",Yes

11/13/2022 8:16:32,John R. Pierce,@jrpierce@zirk.us,@JohnPierceJD,"business law, criminal law","Massachusetts, US",,Yes

